ALFA ROMEO,Italy,2020
Aston Martin Lagonda Ltd,UK,2020
Audi,Germany,2020
BMW,Germany,2020
Chevrolet,USA,2020
Dodge,USA,2020
Ferrari,Italy,2020
Honda,Japan,2020
Jaguar,UK,2020
Lamborghini,Italy,2020
MAZDA,Japan,2020
McLaren,UK,2020
Mercedes-Benz,Germany,2020
NISSAN,Japan,2020
Pagani Automobili S.p.A.,Italy,2020
Porsche,Germany,2020
FIAT,Italy,2020
Mini,Germany,2020
SCION,USA,2020
Subaru,Japan,2020
Bentley,UK,2020
Buick,USA,2020
Ford,USA,2020
HYUNDAI MOTOR COMPANY,South Korea,2020
LEXUS,Japan,2020
MASERATI,Italy,2020
Roush,USA,2020
Volkswagen,Germany,2020
Acura,Japan,2020
Cadillac,USA,2020
INFINITI,Hong Kong,2020
KIA MOTORS CORPORATION,South Korea,2020
Mitsubishi Motors Corporation,Japan,2020
Rolls-Royce Motor Cars Limited,UK,2020
TOYOTA,Japan,2020
Volvo,Sweden,2020
Chrysler,USA,2020
Lincoln,USA,2020
GMC,USA,2020
RAM,USA,2020
CHEVROLET,USA,2020
Jeep,USA,2020
Land Rover,UK,2020
